fid,display_name,verified_addresses,casts_count
191853,1235,['0x5ba9f86008000296ad174a90293680b2d2ac0b9a'],10
12172,serdar,['0x91a7781356735a74aa69bde618b5872c18328754'],10
21133,MrBlueSky,[],10
4409,Pete Horne,['0x37eba5011576a4d02ddb4159bebd741e45bf216a'],10
6227,Emre Ekinci ~ q/dau,['0x5f57c686bdbc03242c8fa723b80f0a6cdea79546'],10
193930,Ilya,['0xfb5beb0145528408d9460888ff075f92f3fe9c0b'],10
3642,Toady Hawk,['0x5d802e2fe48392c104ce0401c7eca8a4456f1f16'],10
17223,Kindnesss.eth 10^11 🌐 🪙,['0xca21d1d2fa81641c3f75d8786d6529f9b7512ef5'],10
191890,Vinataba,['0xae9ca0930ebb97b374db24c7f8b2f89c2b5564fa'],10
7715,Royalaid,['0x5d98609f4a43ed4d36dae38a58365b352109c7a6'],10
8555,Adam Miller,['0xa9fa105cc800137b8bc9e7bd34d26460e1e77b9a'],10
17195,Andrea,['0x8425cb9db22f88bb38f6c64b39c4712e4ca8aa11'],10
7589,Lior,['0xd5aefe935dfc9360945115dde8da98b596dfbb9f'],10
8,jacob,['0x17cd072cbd45031efc21da538c783e0ed3b25dcc'],9
188269,leeyde,['0xeba06532a72bec44a1d33130aaa7c45c31e502f6'],9
195635,Mises Browser ,"['0x7b14a09b66a21e29428a72e1785c40b0c8cfd15a', '0x7b14a09b66a21e29428a72e1785c40b0c8cfd15a']",9
6631,Jorge Ordovás,['0xeb58973193e82bf1f9d2bd6a93d68b98f9faccd8'],9
4286,vincent,"['0x0076f74cc966fdd705ded40df8ab86604e4b5759', '0xb7254ce5cb61f69b3fc120b85f0f6b90d871036c']",9
1285,Ben,"['0xc4abbd82cb52a7e7e991e030344799acfe013c95', '0xa63565be17275cde58196965b2885e675875cb8f']",9
191775,Ismene ,['0x720d3a3aa7c6bec98be27a64b9f4f42eb79badc4'],9
4905,Max Aka MXJXN 🆗🆒 e/art,['0x6da0a1784de1abdde1734ba37eca3d560bf044c0'],9
12021,kbc - q/dau,"['0xe372cf77187e27b15805803cf331f6b7330f223b', '0xe052b2fcf0343ba2cc6a42ef5626c64e9b15f984', '0x6d5e5c19c360b4bce6ba312aa19d1c14ac1e38a5']",9
8080,Petra ⊙,['0x9fc3b33884e1d056a8ca979833d686abd267f9f8'],9
4877,Trish🫧,['0x5f8b9b4541ecef965424f1db923806aad626add2'],9
2480,humpty,['0xbe14b9950dc61642a084eab491fa516d8fe557e6'],9
191498,Jim Cramer,['0x6a9b86e5a09eb214557825c89cd2aabdd832b830'],9
20388,Nik 🎄,"['0x2373b942a8f89b4ef561b9ea5f3b6879a1b4ffe2', '0x2373b942a8f89b4ef561b9ea5f3b6879a1b4ffe2']",9
188598,dan,['0x8a5f2d2cecf30a7bc4bc8553c130aec018f4d5c6'],9
4044,alec.eth🤠,['0x049569adb8a1e8a9349e9f1111c7b7993a4612eb'],9
11510,Xen Baynham-Herd,['0xe7e7b0f53f15d3452e6ef8698b52e967af110762'],9
14597,Amir,"['0x1a74d0285a569120aa2836cb2b0fa58038adb800', '0x1a74d0285a569120aa2836cb2b0fa58038adb800', '0x1a74d0285a569120aa2836cb2b0fa58038adb800']",9
193463,Illumination,['0xc2fdbdd55d8ba94e3fd62992ea5d715e5139b284'],9
196424,aaa,[],9
22051,Daniel Sterling,['0x82b171ccadf43fc453b428b428693be638d62843'],9
239,ted (not lasso),['0x0aa34eb615ab330b64060ff9fa994e72a7a95b59'],9
193961,Wolfgang,['0x0bdc67a1453af16dd48490dec0b6b45f63bd836b'],9
16148,EulerLagrange,['0x68b44ea0b78aff90e328406768bedcd387000d31'],9
19858,BorrowLucid ,['0x87690be28b65f13394741c2c2be5a6bdb0505039'],9
10259,alex,"['0x4672c670175e4e409488ae9e9ce1f3a353fa2b61', '0x3ed8df4650d21c55f0ddc32392a32288def66f68', '0xd6507fc98605eab8775f851c25a5e09dc12ab7a7', '0xd6507fc98605eab8775f851c25a5e09dc12ab7a7', '0xd79b6005bcf3020a4dc477de8a44f6b2dd3d3d86']",8
22415,mobox,['0xca06c6543501bcc5f2cf6b8cffd448de5e160503'],8
28,Alok Vasudev,['0xb618a21f95aa6c9c4281db442857f50d2c5d44f7'],8
5781,prego,['0x4977a4b74d3a81db4c462d9073e10796d0cee333'],8
4085,Christopher Wallace,['0x47d25240311c444e4534a968c9f0f82d262ae0b4'],8
18471,もるぺこ,['0xaffb9ad129e2966e60701c32d4028fdf6ffc27f9'],8
11861,0x__io97,"['0x6f1a19a9d7125f552c0155a8ef32cb448256397d', '0xfd4520753366d35e5dc2f76d52dc58a5261ed263', '0xef6c27408d8a9884485f1a66dd27db2d99e270cb', '0xfd4520753366d35e5dc2f76d52dc58a5261ed263']",8
11770,Adam,"['0xc8aeb4c273583befce25cbc2a6d4a5c33e67d308', '0x61a0e0ba72145f7d24c5fef949da2e74d5203f72']",8
21663,musker,"['0x61b49a7963e7c53a13075a2fde2a9865427ac954', '0x61b49a7963e7c53a13075a2fde2a9865427ac954']",8
23563,Zeronium,['0x02eb068e6c8cff0013e23d58b3b00b7e68f6959d'],8
9055,[USER STEEN],['0x575c8a992ec082f3650432de77c1cbbccf568200'],8
21168,Rob Zombie,['0x78b037b39704e88a82dd23cfbe1f57f6aef8ebc5'],8
19832,TheModestThief,"['0x1dd2542ad6187024064b08ed3fcb076021bd22c0', '0x1dd2542ad6187024064b08ed3fcb076021bd22c0', '0x1dd2542ad6187024064b08ed3fcb076021bd22c0', '0x1dd2542ad6187024064b08ed3fcb076021bd22c0', '0x1dd2542ad6187024064b08ed3fcb076021bd22c0', '0x1dd2542ad6187024064b08ed3fcb076021bd22c0']",8
21720,zkafromoon ,"['0x61156339df67fb127d67a8c0c0a73856a4b0bf84', '0x61156339df67fb127d67a8c0c0a73856a4b0bf84', '0x61156339df67fb127d67a8c0c0a73856a4b0bf84', '0x61156339df67fb127d67a8c0c0a73856a4b0bf84']",8
3615,notqz,['0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1'],8
12152,Daniel - Acilia,"['0x729170d38dd5449604f35f349fdfcc9ad08257cd', '0x3ddfc4ecfb7b2cfcd84d0bae994b2e535c6e166c', '0x729170d38dd5449604f35f349fdfcc9ad08257cd']",8
193127,Kinomama ,['0x6fcf7bcd09f92d3cbeea6afca5e016a6798c7766'],8
616,dylan,['0x7e37c3a9349227b60503ddb1574a76d10c6bc48e'],8
195997,Joshua Stoker ,[],8
3854,Darryl Yeo 🛠️,[],8
16098,Jorge Pablo Franetovic ( jp ),['0xed21735dc192dc4eeafd71b4dc023bc53fe4df15'],8
13596,hellno the optimist 🍜🪩,['0x6d9ffaede2c6cd9bb48bece230ad589e0e0d981c'],8
194467,Anderson Chen,[],8
20970,Latetot,['0x6079865113cab35453bb186c6fcc54dfd6eb31c4'],8
17599,naoyan,['0x6616e78124b9343f8b05e9976599e427e35263cc'],8
4823,Justin Hunter,"['0xcdcdc174901b12e87cc82471a2a2bd6181c89392', '0x1612c6dff0eb5811108b709a30d8150495ce9cc5']",8
191960,Vương Nguyễn Anh Tài,['0x042276489f26ce13abe72d0f947821d4d1034201'],8
12,Linda Xie,['0x5e349eca2dc61abcd9dd99ce94d04136151a09ee'],8
15466,Aung Thaung,"['0x626bdb052909752bc5dec9216fed82c4ff88abda', '0x3ce4da31b072edb5620ee1485f34f06680801fe1', '0x626bdb052909752bc5dec9216fed82c4ff88abda', '0x3ce4da31b072edb5620ee1485f34f06680801fe1']",8
17748,pancopa🥐🐈,"['0xc6571c2fb66825f13b7751b1c334810d397618eb', '0xc6571c2fb66825f13b7751b1c334810d397618eb']",7
18922,nalo,[],7
4996,nixo,"['0x04c0cd38b8c203b14ef2b7b8d736d69b938aff71', '0x2a7ee44494e5efe3d31c606c51e030a5adac1011', '0x5554672e67ba866b9861701d0e0494ab324ad19a']",7
1898,chrisb (boscolo.eth),"['0x6697d7cd36ed1782dfdb721d3c3a1f4f901b957d', '0x6a40260b27b13e52033c211b840f04dc64059748']",7
188849,Ngo Phong,"['0x14587a0bfd7da92c723a58221220b68f7d6295cd', '0x14587a0bfd7da92c723a58221220b68f7d6295cd', '0x6ba7a2117d981e168b34653c35541e56db302bef', '0x14587a0bfd7da92c723a58221220b68f7d6295cd']",7
192983,nhatkhanh,['0xef13b0272700ca22c57e055f0d2ad40d6c78155e'],7
2549,Ambesh,['0x72b5620a9fc4097c547f063aa0bdcc20664007c3'],7
190866,Golden Degen,"['0x4024e55bcf7f4535df4575526a69fe74f5f7c246', '0xd3c0b69621d412c8f80e4975c7f38631ad91b2d0', '0x4024e55bcf7f4535df4575526a69fe74f5f7c246']",7
716,Ayush,"['0x0df5ba52e8c055950aaaf5fcfe829020e898ee60', '0x5b172915fbf880db099b9e14635630e29d134ecb']",7
13161,FaFa,['0x37ee1fd3150b19d9e072e70e69071013ae620911'],7
21114,vsck ,['0x463470955c61a54210b5ddcc20847cc325a2ff38'],7
2745,Steve,"['0x34db35639eafe2712ae1f69dfa298b06a5c25053', '0xf519bc3fbc0b1ec8feec3bbb47cc564a6532123a']",7
1593,albert,['0xf5fff32cf83a1a614e15f25ce55b0c0a6b5f8f2c'],7
9456,Patricio Worthalter,['0xf6b6f07862a02c85628b3a9688beae07fea9c863'],7
6804,"g (🥝,🔪)",['0xf34196597df209a04fc92b97071dcaabbc63f0e8'],7
11213,petar.xyz,['0xb520930bf5529bdf6d42d76cd6f820145ba3ab6b'],7
193746,luca,"['0x5c0aed74917667f07786947ed677a7e3c808e006', '0x5c0aed74917667f07786947ed677a7e3c808e006']",7
8149,kerman,"['0xef4bad693a836ae7fd7c8deeabc06c03373204d6', '0xfec18996c36d02902e4c55bcfb7a1c73aa1500cd']",7
1841,martin,"['0x6ab075abfa7cdd7b19fa83663b1f2a83e4a957e3', '0x6ab075abfa7cdd7b19fa83663b1f2a83e4a957e3', '0x6ab075abfa7cdd7b19fa83663b1f2a83e4a957e3', '0x060e73d05ea758d9e7033bbd2570003e9070071e']",7
195818,Nguyen Quynh Anh,"['0xce044441e0269bcca7f03a62f6d0bdc6ce161dc3', '0xce044441e0269bcca7f03a62f6d0bdc6ce161dc3', '0xa35843ca2c3550334a8dada7601f7935da2e2275']",7
5283,Limes,['0xa7860e99e3ce0752d1ac53b974e309fff80277c6'],7
189237,Ignas | DeFi,['0x0329289a5913a4b79c83e0f3a9cfcce31ee57b61'],7
23023,Galieh Purnomo,"['0x1fe2dc75af920fea983ef6490024aefc06f8b218', '0x1fe2dc75af920fea983ef6490024aefc06f8b218', '0x1fe2dc75af920fea983ef6490024aefc06f8b218']",7
