fid,fname,cast_count,verified_addresses
210407,evandekim,2,[]
209503,cuteto,2,['0x00d5cbf97a6e9786a1a270c4b4404c81d59d643b']
209503,okuto.eth,2,['0x00d5cbf97a6e9786a1a270c4b4404c81d59d643b']
209756,jfpienay-2023,2,[]
210891,madvi,2,[]
210412,darkking1111,2,['0x1d967339d96981b425c00c545bb8f251b0cfe3ff']
206208,cult-x,2,"['0x7c284a347e55aeb8e7fde3219fd795b61113d5c0', '0x7c284a347e55aeb8e7fde3219fd795b61113d5c0']"
207023,itsmattnow,2,[]
207752,mjog,2,['0xbcf18a361ce7b587ce0e5f71a578f13b59be78bd']
209564,thecryptorat,2,[]
208637,willcohen,2,[]
206860,karmaclause,2,[]
209634,bel2961,2,[]
206777,anakzeep,2,"['0xa90bc0981fcf35aadce00fc3bc5b3b8d754c0242', '0xa90bc0981fcf35aadce00fc3bc5b3b8d754c0242', '0xa90bc0981fcf35aadce00fc3bc5b3b8d754c0242']"
210509,nekkobeatz,2,"['0xdc5ffa857c830e77972888da2be1beb3fa772962', '0xdc5ffa857c830e77972888da2be1beb3fa772962', '0x5bd937a0ba71a07717ef40e407b67614c0364bf6']"
206386,randysp08,2,"['0x343ce802d5c59ba0a42bc376e463aaecc3765f7e', '0x343ce802d5c59ba0a42bc376e463aaecc3765f7e']"
207185,kaio28182,2,['0xfb588eb59efb49ac060ddae86a6ba7fc1f1b43b6']
207848,edwardweb3,2,['0x487d440fc635f5282dcf4362770a993fba24c21b']
206559,djsmoke713,1,[]
210871,d3r3k,1,"['0xa9ce598b9286acecf2e495d663faa611256910f1', '0xa9ce598b9286acecf2e495d663faa611256910f1']"
210871,derekalia.eth,1,"['0xa9ce598b9286acecf2e495d663faa611256910f1', '0xa9ce598b9286acecf2e495d663faa611256910f1']"
208065,filipebr22,1,[]
210403,111lightsananda,1,"['0x0ef92f2b056d2fbb14a51ed01eb578169fa659b0', '0x0ef92f2b056d2fbb14a51ed01eb578169fa659b0', '0x0ef92f2b056d2fbb14a51ed01eb578169fa659b0', '0x0ef92f2b056d2fbb14a51ed01eb578169fa659b0', '0x78e76bbc71da8cb06666e3afb56165d4066183ce']"
207771,fredoia41,1,[]
210876,neverchange,1,['0x66ba457fd019744dbf70c72084e7b2bf00ba59e0']
210876,neverchange.eth,1,['0x66ba457fd019744dbf70c72084e7b2bf00ba59e0']
210879,bgsrtz,1,[]
210880,xkenny,1,['0xcdef60555f963729d7aa5363d04e46379a5722bb']
210881,sileilo,1,[]
206809,jeanyves,1,[]
210894,peterz,1,[]
207917,anunakin,1,[]
210897,mart1n-xyz,1,[]
207523,giovannipk,1,"['0x497c71ca379fe1c6eba7721264f7a1bcb8990c64', '0x497c71ca379fe1c6eba7721264f7a1bcb8990c64', '0x497c71ca379fe1c6eba7721264f7a1bcb8990c64', '0x497c71ca379fe1c6eba7721264f7a1bcb8990c64']"
210899,shantululu,1,[]
210900,bb-neomi,1,[]
210901,dtdddd,1,[]
210902,curryyang,1,[]
209252,mp3toweb3,1,[]
207919,dutchtjones,1,[]
210419,chu,1,[]
210909,brownyam,1,[]
210911,0xkelvin,1,[]
209022,smartcontact,1,[]
