fid,fname,cast_count,verified_addresses,
199812,martingou13,2,"['0xe965c20c6583f47f6f2f617544d8a10a32c556a0', '0xe965c20c6583f47f6f2f617544d8a10a32c556a0', '0xe965c20c6583f47f6f2f617544d8a10a32c556a0']",
199621,apecollective,2,[],
196667,youknowhisname.eth,2,['0x98e1d3b9153092ca5c5f2102741b950023bff0de'],
201417,witcher,2,[],
199332,fadilux29,2,"['0x6559aa4d35dabaa0975370ffb07d6f699ca9ca79', '0x6559aa4d35dabaa0975370ffb07d6f699ca9ca79']",
199352,zukuliss,2,"['0xd45133494954ad9b2c335f79ae89ae86c58e4994', '0xd45133494954ad9b2c335f79ae89ae86c58e4994', '0xd45133494954ad9b2c335f79ae89ae86c58e4994', '0xd45133494954ad9b2c335f79ae89ae86c58e4994', '0xd45133494954ad9b2c335f79ae89ae86c58e4994', '0xd45133494954ad9b2c335f79ae89ae86c58e4994']",
197075,agorabot,2,[],
197729,ok2k,2,[],
199904,yady,2,[],
197792,gij1,2,"['0xb7d0fdb12029dd59b117cc227f6c259509529688', '0xb7d0fdb12029dd59b117cc227f6c259509529688']",
198538,wtracy,2,['0x4837b18bd0cf3356779bbe6f2f641786755979f0'],
197887,dannypeters,2,[],
199770,mishabirkin,2,"['0xa7735ee60feb9bd79c85c2fb87b7c80678c57529', '0xa7735ee60feb9bd79c85c2fb87b7c80678c57529']",
199632,kyanbr0x,2,"['0x0b77f50ed0d5b78cdcab865147fd63a5431853b1', '0x0b77f50ed0d5b78cdcab865147fd63a5431853b1']",
199584,db2305,2,[],
199807,erik1,2,['0x6f50bece17b1af038e54901e5b55b5c3fe865255'],
200394,guerrero,2,"['0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90', '0xceb18d6461d7e16e13f3528b79c63901d7fa3e90']",
198933,rpm87,2,[],
199110,healerladyk,2,[],
196882,orishim,2,[],
199111,eduuuuar,2,['0x0de130331da02b215977f51d6aa7fce5dd1130eb'],
200460,biode,2,[],
199590,coastal,2,"['0xd7ec9acbf5ffbf21ccfb5c1a3d98f12fbc09fd06', '0x1c84db95b9fa975f9dfb00e10122f5b0e8b1bc18']",
198991,goldenpro,2,[],
198686,dwie4,2,[],
196783,khun,2,"['0xd14ede4b61195bed37af792dd0e312ab1c9fb2a8', '0xd14ede4b61195bed37af792dd0e312ab1c9fb2a8', '0xd14ede4b61195bed37af792dd0e312ab1c9fb2a8']",
196988,,2,[],
197153,freedomrings,2,[],
199594,grantstenger,2,[],
